metastep 0 finished, loss: 0.8926627039909363
metastep 1 finished, loss: 0.9653807878494263
metastep 2 finished, loss: 0.9442600011825562
metastep 3 finished, loss: 0.8934972882270813
metastep 4 finished, loss: 0.9451694488525391
metastep 5 finished, loss: 0.8557804822921753
metastep 6 finished, loss: 0.8233495950698853
metastep 7 finished, loss: 0.844948947429657
metastep 8 finished, loss: 0.7982690930366516
metastep 9 finished, loss: 0.8719256520271301
metastep 10 finished, loss: 0.8065274953842163
metastep 11 finished, loss: 0.9069275856018066
metastep 12 finished, loss: 0.7601580619812012
metastep 13 finished, loss: 0.7727189064025879
metastep 14 finished, loss: 0.859533965587616
metastep 15 finished, loss: 0.8956576585769653
metastep 16 finished, loss: 0.7928937673568726
metastep 17 finished, loss: 0.7894145846366882
metastep 18 finished, loss: 0.814408540725708
metastep 19 finished, loss: 0.8240553736686707
metastep 20 finished, loss: 0.8140798807144165
metastep 21 finished, loss: 0.7712979912757874
metastep 22 finished, loss: 0.6660399436950684
metastep 23 finished, loss: 0.7457388043403625
metastep 24 finished, loss: 0.7517547607421875
metastep 25 finished, loss: 0.7778017520904541
metastep 26 finished, loss: 0.7752900123596191
metastep 27 finished, loss: 0.790739119052887
metastep 28 finished, loss: 0.71002596616745
metastep 29 finished, loss: 0.7785240411758423
metastep 30 finished, loss: 0.748761773109436
metastep 31 finished, loss: 0.7722618579864502
metastep 32 finished, loss: 0.6909308433532715
metastep 33 finished, loss: 0.7194778323173523
metastep 34 finished, loss: 0.7157811522483826
metastep 35 finished, loss: 0.6449521780014038
metastep 36 finished, loss: 0.7120103240013123
metastep 37 finished, loss: 0.7256226539611816
metastep 38 finished, loss: 0.6532018184661865
metastep 39 finished, loss: 0.722388505935669
metastep 40 finished, loss: 0.7259328365325928
metastep 41 finished, loss: 0.6747444272041321
metastep 42 finished, loss: 0.6918897032737732
metastep 43 finished, loss: 0.712023913860321
metastep 44 finished, loss: 0.6608056426048279
metastep 45 finished, loss: 0.6714537143707275
metastep 46 finished, loss: 0.6766138672828674
metastep 47 finished, loss: 0.6820774674415588
metastep 48 finished, loss: 0.6828044652938843
metastep 49 finished, loss: 0.6663717031478882
metastep 50 finished, loss: 0.6302376985549927
metastep 51 finished, loss: 0.6708731055259705
metastep 52 finished, loss: 0.6496330499649048
metastep 53 finished, loss: 0.597417950630188
metastep 54 finished, loss: 0.589490532875061
metastep 55 finished, loss: 0.6473950743675232
metastep 56 finished, loss: 0.5704302191734314
metastep 57 finished, loss: 0.5837449431419373
metastep 58 finished, loss: 0.6784326434135437
metastep 59 finished, loss: 0.6525710225105286
metastep 60 finished, loss: 0.6480183601379395
metastep 61 finished, loss: 0.6673783659934998
metastep 62 finished, loss: 0.6067480444908142
metastep 63 finished, loss: 0.6142266392707825
metastep 64 finished, loss: 0.6105105876922607
metastep 65 finished, loss: 0.5884985327720642
metastep 66 finished, loss: 0.5748205780982971
metastep 67 finished, loss: 0.5794814825057983
metastep 68 finished, loss: 0.7108263969421387
metastep 69 finished, loss: 0.6362102031707764
metastep 70 finished, loss: 0.6457241177558899
metastep 71 finished, loss: 0.6706662178039551
metastep 72 finished, loss: 0.6213307976722717
metastep 73 finished, loss: 0.6583709716796875
metastep 74 finished, loss: 0.5968542695045471
metastep 75 finished, loss: 0.6629034876823425
metastep 76 finished, loss: 0.7486447095870972
metastep 77 finished, loss: 0.6881048679351807
metastep 78 finished, loss: 0.7639636397361755
metastep 79 finished, loss: 0.6615380048751831
metastep 80 finished, loss: 0.6812084317207336
metastep 81 finished, loss: 0.7052239179611206
metastep 82 finished, loss: 0.674567461013794
metastep 83 finished, loss: 0.7240996360778809
metastep 84 finished, loss: 0.727292001247406
metastep 85 finished, loss: 0.6788144111633301
metastep 86 finished, loss: 0.6717312335968018
metastep 87 finished, loss: 0.6573111414909363
metastep 88 finished, loss: 0.7177038788795471
metastep 89 finished, loss: 0.7313432693481445
metastep 90 finished, loss: 0.6978917717933655
metastep 91 finished, loss: 0.7195050120353699
metastep 92 finished, loss: 0.7652597427368164
metastep 93 finished, loss: 0.7676032185554504
metastep 94 finished, loss: 0.7284657955169678
metastep 95 finished, loss: 0.6881084442138672
metastep 96 finished, loss: 0.759486973285675
metastep 97 finished, loss: 0.7183674573898315
metastep 98 finished, loss: 0.6767683029174805
metastep 99 finished, loss: 0.6272362470626831
metastep 100 finished, loss: 0.7259432077407837
metastep 101 finished, loss: 0.7613013386726379
metastep 102 finished, loss: 0.6702236533164978
metastep 103 finished, loss: 0.6532934904098511
metastep 104 finished, loss: 0.7395114302635193
metastep 105 finished, loss: 0.7535917162895203
metastep 106 finished, loss: 0.7673752307891846
metastep 107 finished, loss: 0.6855897903442383
metastep 108 finished, loss: 0.6812794208526611
metastep 109 finished, loss: 0.7112447023391724
metastep 110 finished, loss: 0.6556839346885681
metastep 111 finished, loss: 0.7081129550933838
metastep 112 finished, loss: 0.7250893115997314
metastep 113 finished, loss: 0.7383754253387451
metastep 114 finished, loss: 0.6526811718940735
metastep 115 finished, loss: 0.6881973743438721
metastep 116 finished, loss: 0.743102490901947
metastep 117 finished, loss: 0.7187783718109131
metastep 118 finished, loss: 0.7069751024246216
metastep 119 finished, loss: 0.7137150168418884
metastep 120 finished, loss: 0.709128201007843
metastep 121 finished, loss: 0.7531702518463135
metastep 122 finished, loss: 0.7416737675666809
metastep 123 finished, loss: 0.7298084497451782
metastep 124 finished, loss: 0.7694066762924194
metastep 125 finished, loss: 0.7753392457962036
metastep 126 finished, loss: 0.7306374311447144
metastep 127 finished, loss: 0.693569004535675
metastep 128 finished, loss: 0.8396236300468445
metastep 129 finished, loss: 0.7099736928939819
metastep 130 finished, loss: 0.6682486534118652
metastep 131 finished, loss: 0.6798308491706848
metastep 132 finished, loss: 0.6640415191650391
metastep 133 finished, loss: 0.6925563812255859
metastep 134 finished, loss: 0.7032883167266846
metastep 135 finished, loss: 0.6582345366477966
metastep 136 finished, loss: 0.725939154624939
metastep 137 finished, loss: 0.7272128462791443
metastep 138 finished, loss: 0.7246288061141968
metastep 139 finished, loss: 0.7093912363052368
metastep 140 finished, loss: 0.7403075098991394
metastep 141 finished, loss: 0.7105281352996826
metastep 142 finished, loss: 0.7088291049003601
metastep 143 finished, loss: 0.7436515092849731
metastep 144 finished, loss: 0.741558313369751
metastep 145 finished, loss: 0.8188365697860718
metastep 146 finished, loss: 0.7036599516868591
metastep 147 finished, loss: 0.6566137671470642
metastep 148 finished, loss: 0.6878032684326172
metastep 149 finished, loss: 0.6668825149536133
metastep 150 finished, loss: 0.6592211723327637
metastep 151 finished, loss: 0.6854291558265686
metastep 152 finished, loss: 0.6916161179542542
metastep 153 finished, loss: 0.6747304201126099
metastep 154 finished, loss: 0.72953200340271
metastep 155 finished, loss: 0.6424372792243958
metastep 156 finished, loss: 0.6914372444152832
metastep 157 finished, loss: 0.6622876524925232
metastep 158 finished, loss: 0.6728508472442627
metastep 159 finished, loss: 0.64598149061203
metastep 160 finished, loss: 0.6958625912666321
metastep 161 finished, loss: 0.6379888653755188
metastep 162 finished, loss: 0.6307562589645386
metastep 163 finished, loss: 0.6137831211090088
metastep 164 finished, loss: 0.6996234059333801
metastep 165 finished, loss: 0.6311790347099304
metastep 166 finished, loss: 0.6536662578582764
metastep 167 finished, loss: 0.7073274850845337
metastep 168 finished, loss: 0.6748591661453247
metastep 169 finished, loss: 0.6644271612167358
metastep 170 finished, loss: 0.6135753393173218
metastep 171 finished, loss: 0.583709716796875
metastep 172 finished, loss: 0.584977388381958
metastep 173 finished, loss: 0.608208179473877
metastep 174 finished, loss: 0.6429676413536072
metastep 175 finished, loss: 0.6341147422790527
