metastep 145 finished, loss: 0.07311797887086868
metastep 146 finished, loss: 0.0832808194682002
metastep 147 finished, loss: 0.0785615355707705
metastep 148 finished, loss: 0.08395577827468514
metastep 149 finished, loss: 0.07551060896366835
metastep 150 finished, loss: 0.08018100168555975
metastep 151 finished, loss: 0.07379353744909167
metastep 152 finished, loss: 0.08148513082414865
metastep 153 finished, loss: 0.07966198306530714
metastep 154 finished, loss: 0.08033598586916924
metastep 155 finished, loss: 0.07723077293485403
metastep 156 finished, loss: 0.07539828773587942
metastep 157 finished, loss: 0.0794963096268475
metastep 158 finished, loss: 0.07916396670043468
metastep 159 finished, loss: 0.08647286985069513
metastep 160 finished, loss: 0.07733297254890203
metastep 161 finished, loss: 0.0823845537379384
metastep 162 finished, loss: 0.07996549503877759
metastep 163 finished, loss: 0.08641110919415951
metastep 164 finished, loss: 0.08161180140450597
metastep 165 finished, loss: 0.09266612865030766
metastep 166 finished, loss: 0.0876566544175148
metastep 167 finished, loss: 0.08633674960583448
metastep 168 finished, loss: 0.08652279898524284
metastep 169 finished, loss: 0.09248571842908859
metastep 170 finished, loss: 0.08773259958252311
metastep 171 finished, loss: 0.08198473788797855
metastep 172 finished, loss: 0.0867873658426106
metastep 173 finished, loss: 0.08515515364706516
metastep 174 finished, loss: 0.0841368418186903
metastep 175 finished, loss: 0.0886920471675694
metastep 176 finished, loss: 0.08476826548576355
metastep 177 finished, loss: 0.08450096007436514
metastep 178 finished, loss: 0.08695973642170429
metastep 179 finished, loss: 0.07974887825548649
metastep 180 finished, loss: 0.08082287153229117
metastep 181 finished, loss: 0.085320177488029
metastep 182 finished, loss: 0.08779070060700178
metastep 183 finished, loss: 0.08379982504993677
metastep 184 finished, loss: 0.0809701276011765
metastep 185 finished, loss: 0.08031901204958558
metastep 186 finished, loss: 0.08901278348639607
metastep 187 finished, loss: 0.08766246493905783
metastep 188 finished, loss: 0.08635776350274682
metastep 189 finished, loss: 0.0846943068318069
metastep 190 finished, loss: 0.0878485613502562
metastep 191 finished, loss: 0.07732973620295525
metastep 192 finished, loss: 0.08467062097042799
metastep 193 finished, loss: 0.09061291348189116
metastep 194 finished, loss: 0.08031748561188579
metastep 195 finished, loss: 0.08468329347670078
metastep 196 finished, loss: 0.08269335050135851
metastep 197 finished, loss: 0.08150943089276552
metastep 198 finished, loss: 0.07828673953190446
metastep 199 finished, loss: 0.08090851595625281
metastep 200 finished, loss: 0.08594213658943772
metastep 201 finished, loss: 0.08177083823829889
metastep 202 finished, loss: 0.08172202948480844
metastep 203 finished, loss: 0.08419484319165349
metastep 204 finished, loss: 0.09235929930582643
metastep 205 finished, loss: 0.08731240453198552
metastep 206 finished, loss: 0.08922899607568979
metastep 207 finished, loss: 0.08287780499085784
metastep 208 finished, loss: 0.08454624377191067
metastep 209 finished, loss: 0.0804748497903347
metastep 210 finished, loss: 0.0826132888905704
metastep 211 finished, loss: 0.08244293322786689
metastep 212 finished, loss: 0.08069138880819082
metastep 213 finished, loss: 0.0888676606118679
metastep 214 finished, loss: 0.08858608920127153
metastep 215 finished, loss: 0.08065812895074487
metastep 216 finished, loss: 0.08513744734227657
metastep 217 finished, loss: 0.08481164183467627
metastep 218 finished, loss: 0.08221360109746456
metastep 219 finished, loss: 0.078162154648453
metastep 220 finished, loss: 0.07935407990589738
metastep 221 finished, loss: 0.08323609223589301
metastep 222 finished, loss: 0.08163605909794569
metastep 223 finished, loss: 0.08231663471087813
metastep 224 finished, loss: 0.08121871156617999
metastep 225 finished, loss: 0.08555353246629238
metastep 226 finished, loss: 0.08889020513743162
metastep 227 finished, loss: 0.08021001797169447
metastep 228 finished, loss: 0.0889101941138506
metastep 229 finished, loss: 0.08108441159129143
metastep 230 finished, loss: 0.08126922883093357
metastep 231 finished, loss: 0.07811451237648726
metastep 232 finished, loss: 0.08335066074505448
metastep 233 finished, loss: 0.08357580238953233
metastep 234 finished, loss: 0.07105221087113023
metastep 235 finished, loss: 0.082041772082448
metastep 236 finished, loss: 0.08185508381575346
metastep 237 finished, loss: 0.08437939640134573
metastep 238 finished, loss: 0.08106317929923534
metastep 239 finished, loss: 0.07815132942050695
metastep 240 finished, loss: 0.08066553063690662
metastep 241 finished, loss: 0.08081055711954832
metastep 242 finished, loss: 0.08748126029968262
metastep 243 finished, loss: 0.08437816798686981
metastep 244 finished, loss: 0.07727079326286912
metastep 245 finished, loss: 0.08437921851873398
metastep 246 finished, loss: 0.08635264821350574
metastep 247 finished, loss: 0.08148158434778452
metastep 248 finished, loss: 0.0838296040892601
metastep 249 finished, loss: 0.07568509737029672
metastep 250 finished, loss: 0.0747549906373024
metastep 251 finished, loss: 0.07705739000812173
metastep 252 finished, loss: 0.07768324203789234
metastep 253 finished, loss: 0.0793240750208497
metastep 254 finished, loss: 0.07520920969545841
metastep 255 finished, loss: 0.07979602739214897
metastep 256 finished, loss: 0.0807021833024919
metastep 257 finished, loss: 0.08562774630263448
metastep 258 finished, loss: 0.0796181564219296
metastep 259 finished, loss: 0.08515197364613414
metastep 260 finished, loss: 0.07461959170177579
metastep 261 finished, loss: 0.0795172150246799
metastep 262 finished, loss: 0.07902591116726398
metastep 263 finished, loss: 0.07648728881031275
metastep 264 finished, loss: 0.0765543314628303
metastep 265 finished, loss: 0.07435508770868182
metastep 266 finished, loss: 0.08062950521707535
metastep 267 finished, loss: 0.0829624691978097
metastep 268 finished, loss: 0.07551730703562498
metastep 269 finished, loss: 0.07415056228637695
metastep 270 finished, loss: 0.07573331519961357
metastep 271 finished, loss: 0.08043703716248274
metastep 272 finished, loss: 0.0750536066479981
metastep 273 finished, loss: 0.07996805105358362
metastep 274 finished, loss: 0.07653498370200396
metastep 275 finished, loss: 0.08315276680514216
metastep 276 finished, loss: 0.08850164990872145
metastep 277 finished, loss: 0.0856055598706007
metastep 278 finished, loss: 0.0766976848244667
metastep 279 finished, loss: 0.08046871470287442
metastep 280 finished, loss: 0.07782239839434624
metastep 281 finished, loss: 0.08627654379233718
metastep 282 finished, loss: 0.08740291837602854
metastep 283 finished, loss: 0.07662443444132805
metastep 284 finished, loss: 0.0748132336884737
metastep 285 finished, loss: 0.07716305600479245
metastep 286 finished, loss: 0.08390000509098172
metastep 287 finished, loss: 0.07509458484128118
metastep 288 finished, loss: 0.0843407241627574
metastep 289 finished, loss: 0.0884062577970326
metastep 290 finished, loss: 0.07827661838382483
metastep 291 finished, loss: 0.07987681170925498
metastep 292 finished, loss: 0.08149446686729789
metastep 293 finished, loss: 0.08009622385725379
metastep 294 finished, loss: 0.0803036643192172
metastep 295 finished, loss: 0.08050560019910336
metastep 296 finished, loss: 0.0830352995544672
metastep 297 finished, loss: 0.08325234474614263
metastep 298 finished, loss: 0.082385397516191
metastep 299 finished, loss: 0.07940365560352802
Start to train adapter for SUN397
loss 0.05350214242935181
loss 0.04743584990501404
loss 0.04118506982922554
loss 0.03572285920381546
loss 0.03299518674612045
loss 0.0321025475859642
loss 0.029432158917188644
loss 0.02836860530078411
loss 0.026979029178619385
loss 0.024713341146707535
loss 0.02600122056901455
loss 0.023510057479143143
loss 0.02292690984904766
loss 0.023635486140847206
loss 0.022469261661171913
loss 0.02208426222205162
loss 0.021682921797037125
loss 0.021817365661263466
loss 0.021934563294053078
loss 0.020126983523368835
loss 0.02089766040444374
loss 0.02057350054383278
loss 0.019751841202378273
loss 0.02118906006217003
loss 0.02021983452141285
loss 0.019210776314139366
loss 0.01938796415925026
loss 0.01943657547235489
loss 0.018520163372159004
