metastep 146 finished, loss: 0.7046258449554443
metastep 147 finished, loss: 0.6579054594039917
metastep 148 finished, loss: 0.6888956427574158
metastep 149 finished, loss: 0.6681283116340637
metastep 150 finished, loss: 0.6603187322616577
metastep 151 finished, loss: 0.6862995624542236
metastep 152 finished, loss: 0.6928758025169373
metastep 153 finished, loss: 0.6759518980979919
metastep 154 finished, loss: 0.7305186986923218
metastep 155 finished, loss: 0.6432640552520752
metastep 156 finished, loss: 0.6929219365119934
metastep 157 finished, loss: 0.6634122133255005
metastep 158 finished, loss: 0.6737986207008362
metastep 159 finished, loss: 0.6474442481994629
metastep 160 finished, loss: 0.6970811486244202
metastep 161 finished, loss: 0.6392233371734619
metastep 162 finished, loss: 0.6317228078842163
metastep 163 finished, loss: 0.6148586273193359
metastep 164 finished, loss: 0.7007229924201965
metastep 165 finished, loss: 0.6323059797286987
metastep 166 finished, loss: 0.6546988487243652
metastep 167 finished, loss: 0.7085631489753723
metastep 168 finished, loss: 0.6761434674263
metastep 169 finished, loss: 0.6658002734184265
metastep 170 finished, loss: 0.6145715713500977
metastep 171 finished, loss: 0.5846729874610901
metastep 172 finished, loss: 0.585797131061554
metastep 173 finished, loss: 0.609326183795929
metastep 174 finished, loss: 0.6442894339561462
metastep 175 finished, loss: 0.6359747052192688
metastep 176 finished, loss: 0.6436672806739807
metastep 177 finished, loss: 0.5992788076400757
metastep 178 finished, loss: 0.7013640403747559
metastep 179 finished, loss: 0.6443670988082886
metastep 180 finished, loss: 0.695550799369812
metastep 181 finished, loss: 0.6373252272605896
metastep 182 finished, loss: 0.6290181875228882
metastep 183 finished, loss: 0.627119243144989
metastep 184 finished, loss: 0.6344200968742371
metastep 185 finished, loss: 0.5890727043151855
metastep 186 finished, loss: 0.6274424195289612
metastep 187 finished, loss: 0.6197407245635986
metastep 188 finished, loss: 0.6552091240882874
metastep 189 finished, loss: 0.6069530248641968
metastep 190 finished, loss: 0.6534738540649414
metastep 191 finished, loss: 0.624494194984436
metastep 192 finished, loss: 0.6547709703445435
metastep 193 finished, loss: 0.6462361812591553
metastep 194 finished, loss: 0.6346886157989502
metastep 195 finished, loss: 0.7107019424438477
metastep 196 finished, loss: 0.6454178690910339
metastep 197 finished, loss: 0.6143006086349487
metastep 198 finished, loss: 0.660402774810791
metastep 199 finished, loss: 0.6270207762718201
metastep 200 finished, loss: 0.6595499515533447
metastep 201 finished, loss: 0.6458844542503357
metastep 202 finished, loss: 0.6149399280548096
metastep 203 finished, loss: 0.6313930153846741
metastep 204 finished, loss: 0.6696125268936157
metastep 205 finished, loss: 0.640209436416626
metastep 206 finished, loss: 0.6175664067268372
metastep 207 finished, loss: 0.6523184180259705
metastep 208 finished, loss: 0.6669216156005859
metastep 209 finished, loss: 0.6996353268623352
metastep 210 finished, loss: 0.6239219903945923
metastep 211 finished, loss: 0.6536538004875183
metastep 212 finished, loss: 0.69670569896698
metastep 213 finished, loss: 0.6693148016929626
metastep 214 finished, loss: 0.6965349912643433
metastep 215 finished, loss: 0.7072601914405823
metastep 216 finished, loss: 0.7605459690093994
metastep 217 finished, loss: 0.7677725553512573
metastep 218 finished, loss: 0.751966655254364
metastep 219 finished, loss: 0.7105022072792053
metastep 220 finished, loss: 0.7866405248641968
metastep 221 finished, loss: 0.7216962575912476
metastep 222 finished, loss: 0.6074308156967163
metastep 223 finished, loss: 0.7117468118667603
metastep 224 finished, loss: 0.7415326833724976
metastep 225 finished, loss: 0.7962272763252258
