metastep 0 finished, loss: 0.8982760310173035
metastep 1 finished, loss: 0.9703247547149658
metastep 2 finished, loss: 0.9486862421035767
metastep 3 finished, loss: 0.8972733020782471
metastep 4 finished, loss: 0.949561357498169
metastep 5 finished, loss: 0.8614795804023743
metastep 6 finished, loss: 0.8273956775665283
metastep 7 finished, loss: 0.8495961427688599
metastep 8 finished, loss: 0.801134467124939
metastep 9 finished, loss: 0.8755905628204346
metastep 10 finished, loss: 0.8095657229423523
metastep 11 finished, loss: 0.9107587933540344
metastep 12 finished, loss: 0.76314377784729
metastep 13 finished, loss: 0.7755129933357239
metastep 14 finished, loss: 0.8626714944839478
metastep 15 finished, loss: 0.8984576463699341
metastep 16 finished, loss: 0.7964120507240295
metastep 17 finished, loss: 0.7920066714286804
metastep 18 finished, loss: 0.8174844980239868
metastep 19 finished, loss: 0.827464759349823
metastep 20 finished, loss: 0.8174034357070923
metastep 21 finished, loss: 0.7748794555664062
metastep 22 finished, loss: 0.6689066886901855
metastep 23 finished, loss: 0.7484437227249146
metastep 24 finished, loss: 0.7539871335029602
metastep 25 finished, loss: 0.7806942462921143
metastep 26 finished, loss: 0.7778134346008301
metastep 27 finished, loss: 0.7925276756286621
metastep 28 finished, loss: 0.7122474908828735
metastep 29 finished, loss: 0.7799665331840515
metastep 30 finished, loss: 0.7508164644241333
metastep 31 finished, loss: 0.773860514163971
metastep 32 finished, loss: 0.6932109594345093
metastep 33 finished, loss: 0.7209036350250244
metastep 34 finished, loss: 0.7176183462142944
metastep 35 finished, loss: 0.6463695168495178
metastep 36 finished, loss: 0.7137420773506165
metastep 37 finished, loss: 0.7273433804512024
metastep 38 finished, loss: 0.6550377607345581
metastep 39 finished, loss: 0.7240928411483765
metastep 40 finished, loss: 0.7271919250488281
metastep 41 finished, loss: 0.675973117351532
metastep 42 finished, loss: 0.693169355392456
metastep 43 finished, loss: 0.7134022116661072
metastep 44 finished, loss: 0.6622161269187927
metastep 45 finished, loss: 0.6734652519226074
metastep 46 finished, loss: 0.6776970624923706
metastep 47 finished, loss: 0.6827582716941833
metastep 48 finished, loss: 0.6843525767326355
metastep 49 finished, loss: 0.6683059334754944
metastep 50 finished, loss: 0.6312505602836609
metastep 51 finished, loss: 0.6721895933151245
metastep 52 finished, loss: 0.6511557102203369
metastep 53 finished, loss: 0.5984762907028198
metastep 54 finished, loss: 0.5906564593315125
metastep 55 finished, loss: 0.6479817032814026
metastep 56 finished, loss: 0.5718122124671936
metastep 57 finished, loss: 0.5850825309753418
metastep 58 finished, loss: 0.6798586249351501
metastep 59 finished, loss: 0.6537632942199707
metastep 60 finished, loss: 0.6489415168762207
metastep 61 finished, loss: 0.6684712767601013
metastep 62 finished, loss: 0.6077480316162109
metastep 63 finished, loss: 0.6148827075958252
metastep 64 finished, loss: 0.6113656759262085
