metastep 145 finished, loss: 0.8090744018554688
metastep 146 finished, loss: 0.6954113245010376
metastep 147 finished, loss: 0.6446470618247986
metastep 148 finished, loss: 0.677757978439331
metastep 149 finished, loss: 0.656425952911377
metastep 150 finished, loss: 0.6494114398956299
metastep 151 finished, loss: 0.6774727702140808
metastep 152 finished, loss: 0.680627703666687
metastep 153 finished, loss: 0.6642401218414307
metastep 154 finished, loss: 0.7207279205322266
metastep 155 finished, loss: 0.6352001428604126
metastep 156 finished, loss: 0.6775721907615662
metastep 157 finished, loss: 0.6526355743408203
metastep 158 finished, loss: 0.664381206035614
metastep 159 finished, loss: 0.6329096555709839
metastep 160 finished, loss: 0.6853964924812317
metastep 161 finished, loss: 0.6281840801239014
metastep 162 finished, loss: 0.6221452355384827
metastep 163 finished, loss: 0.6042649745941162
metastep 164 finished, loss: 0.6904706954956055
metastep 165 finished, loss: 0.6215525269508362
metastep 166 finished, loss: 0.644943356513977
metastep 167 finished, loss: 0.696099042892456
metastep 168 finished, loss: 0.6634469628334045
metastep 169 finished, loss: 0.6531754732131958
metastep 170 finished, loss: 0.6050005555152893
metastep 171 finished, loss: 0.5753852128982544
metastep 172 finished, loss: 0.5784757137298584
metastep 173 finished, loss: 0.5989065170288086
metastep 174 finished, loss: 0.6317461729049683
metastep 175 finished, loss: 0.618087887763977
metastep 176 finished, loss: 0.633757472038269
metastep 177 finished, loss: 0.5893339514732361
metastep 178 finished, loss: 0.6880723834037781
metastep 179 finished, loss: 0.6342355608940125
metastep 180 finished, loss: 0.685041069984436
metastep 181 finished, loss: 0.627607524394989
metastep 182 finished, loss: 0.6199654936790466
metastep 183 finished, loss: 0.6183394193649292
metastep 184 finished, loss: 0.62273108959198
metastep 185 finished, loss: 0.5786195397377014
metastep 186 finished, loss: 0.6170479655265808
metastep 187 finished, loss: 0.6099246740341187
metastep 188 finished, loss: 0.6443532109260559
metastep 189 finished, loss: 0.5991745591163635
metastep 190 finished, loss: 0.6445195078849792
metastep 191 finished, loss: 0.6143829226493835
metastep 192 finished, loss: 0.6467429995536804
metastep 193 finished, loss: 0.6356761455535889
metastep 194 finished, loss: 0.6255238652229309
metastep 195 finished, loss: 0.6967939138412476
metastep 196 finished, loss: 0.635615348815918
metastep 197 finished, loss: 0.6061490774154663
metastep 198 finished, loss: 0.6471584439277649
metastep 199 finished, loss: 0.6168496012687683
metastep 200 finished, loss: 0.6492071151733398
metastep 201 finished, loss: 0.6383610367774963
metastep 202 finished, loss: 0.6048496961593628
metastep 203 finished, loss: 0.6201961040496826
metastep 204 finished, loss: 0.6597692370414734
metastep 205 finished, loss: 0.6307163238525391
metastep 206 finished, loss: 0.6028890609741211
metastep 207 finished, loss: 0.6419395804405212
metastep 208 finished, loss: 0.6581844091415405
metastep 209 finished, loss: 0.6892908811569214
metastep 210 finished, loss: 0.6148554682731628
metastep 211 finished, loss: 0.644706130027771
metastep 212 finished, loss: 0.6851786375045776
metastep 213 finished, loss: 0.6586300134658813
metastep 214 finished, loss: 0.6835863590240479
metastep 215 finished, loss: 0.6936662197113037
metastep 216 finished, loss: 0.7506247162818909
metastep 217 finished, loss: 0.7552790641784668
metastep 218 finished, loss: 0.7401497960090637
metastep 219 finished, loss: 0.6995323300361633
metastep 220 finished, loss: 0.7705199122428894
metastep 221 finished, loss: 0.711277961730957
metastep 222 finished, loss: 0.5981360077857971
metastep 223 finished, loss: 0.6971243023872375
metastep 224 finished, loss: 0.7307443618774414
metastep 225 finished, loss: 0.7751420736312866
metastep 226 finished, loss: 0.7166679501533508
metastep 227 finished, loss: 0.6534814834594727
metastep 228 finished, loss: 0.6778038740158081
metastep 229 finished, loss: 0.7047897577285767
metastep 230 finished, loss: 0.7527788281440735
metastep 231 finished, loss: 0.7511749267578125
metastep 232 finished, loss: 0.7456344962120056
metastep 233 finished, loss: 0.6294702291488647
metastep 234 finished, loss: 0.748185396194458
metastep 235 finished, loss: 0.6484801173210144
metastep 236 finished, loss: 0.6642426252365112
metastep 237 finished, loss: 0.6816908121109009
metastep 238 finished, loss: 0.6936070322990417
metastep 239 finished, loss: 0.7275856137275696
metastep 240 finished, loss: 0.7407323122024536
metastep 241 finished, loss: 0.6827212572097778
metastep 242 finished, loss: 0.7013638615608215
metastep 243 finished, loss: 0.7090388536453247
metastep 244 finished, loss: 0.6898762583732605
metastep 245 finished, loss: 0.6516269445419312
metastep 246 finished, loss: 0.699530839920044
metastep 247 finished, loss: 0.6583058834075928
metastep 248 finished, loss: 0.6978937983512878
metastep 249 finished, loss: 0.7103615999221802
metastep 250 finished, loss: 0.5928787589073181
metastep 251 finished, loss: 0.6399592161178589
metastep 252 finished, loss: 0.7193694114685059
metastep 253 finished, loss: 0.6791084408760071
metastep 254 finished, loss: 0.6780532598495483
metastep 255 finished, loss: 0.6627635359764099
metastep 256 finished, loss: 0.6499080061912537
metastep 257 finished, loss: 0.6122464537620544
metastep 258 finished, loss: 0.6932870149612427
metastep 259 finished, loss: 0.6855088472366333
metastep 260 finished, loss: 0.6924386620521545
metastep 261 finished, loss: 0.6960768103599548
metastep 262 finished, loss: 0.6728825569152832
metastep 263 finished, loss: 0.6435818672180176
metastep 264 finished, loss: 0.6350896954536438
metastep 265 finished, loss: 0.6310320496559143
metastep 266 finished, loss: 0.6520515084266663
metastep 267 finished, loss: 0.636871874332428
metastep 268 finished, loss: 0.6679083108901978
metastep 269 finished, loss: 0.6768905520439148
metastep 270 finished, loss: 0.6735807061195374
metastep 271 finished, loss: 0.7115268111228943
metastep 272 finished, loss: 0.7335317134857178
metastep 273 finished, loss: 0.7298082113265991
metastep 274 finished, loss: 0.6358544826507568
metastep 275 finished, loss: 0.7015652656555176
