metastep 145 finished, loss: 0.07311423169448972
metastep 146 finished, loss: 0.08327388484030962
metastep 147 finished, loss: 0.0785568356513977
metastep 148 finished, loss: 0.08395145740360022
metastep 149 finished, loss: 0.07550884550437331
metastep 150 finished, loss: 0.08017425471916795
metastep 151 finished, loss: 0.07378992345184088
metastep 152 finished, loss: 0.0814775014296174
metastep 153 finished, loss: 0.07965859770774841
metastep 154 finished, loss: 0.08033334417268634
metastep 155 finished, loss: 0.07723139971494675
metastep 156 finished, loss: 0.0753966448828578
metastep 157 finished, loss: 0.07949339505285025
metastep 158 finished, loss: 0.07916212733834982
metastep 159 finished, loss: 0.08647002978250384
metastep 160 finished, loss: 0.07733319886028767
metastep 161 finished, loss: 0.08238258678466082
metastep 162 finished, loss: 0.07996733020991087
metastep 163 finished, loss: 0.0864099026657641
metastep 164 finished, loss: 0.08161318209022284
metastep 165 finished, loss: 0.09266049833968282
metastep 166 finished, loss: 0.08765292912721634
metastep 167 finished, loss: 0.08633288647979498
metastep 168 finished, loss: 0.08651914354413748
metastep 169 finished, loss: 0.0924826581031084
metastep 170 finished, loss: 0.08773154858499765
metastep 171 finished, loss: 0.08198447013273835
metastep 172 finished, loss: 0.08678433764725924
metastep 173 finished, loss: 0.0851560216397047
metastep 174 finished, loss: 0.08413717988878489
metastep 175 finished, loss: 0.08869376452639699
metastep 176 finished, loss: 0.08476985525339842
metastep 177 finished, loss: 0.0844991160556674
metastep 178 finished, loss: 0.0869592810049653
metastep 179 finished, loss: 0.07975097792223096
metastep 180 finished, loss: 0.08082407480105758
metastep 181 finished, loss: 0.08532270137220621
metastep 182 finished, loss: 0.08779136603698134
metastep 183 finished, loss: 0.08379886066541076
metastep 184 finished, loss: 0.08097209595143795
metastep 185 finished, loss: 0.08031647745519876
metastep 186 finished, loss: 0.08901088032871485
metastep 187 finished, loss: 0.0876627741381526
metastep 188 finished, loss: 0.08635828411206603
metastep 189 finished, loss: 0.08469717437401414
metastep 190 finished, loss: 0.0878474609926343
metastep 191 finished, loss: 0.07732871174812317
metastep 192 finished, loss: 0.08467081096023321
metastep 193 finished, loss: 0.09061178006231785
metastep 194 finished, loss: 0.08031617710366845
metastep 195 finished, loss: 0.08468118403106928
metastep 196 finished, loss: 0.08269531419500709
metastep 197 finished, loss: 0.08150697918608785
metastep 198 finished, loss: 0.07828605594113469
metastep 199 finished, loss: 0.08090800838544965
metastep 200 finished, loss: 0.08593961084261537
metastep 201 finished, loss: 0.08176980447024107
metastep 202 finished, loss: 0.08172057662159204
metastep 203 finished, loss: 0.08419280918315053
metastep 204 finished, loss: 0.09235850675031543
metastep 205 finished, loss: 0.08731170650571585
metastep 206 finished, loss: 0.08923026965931058
metastep 207 finished, loss: 0.08287698775529861
metastep 208 finished, loss: 0.08454617345705628
metastep 209 finished, loss: 0.08047446887940168
metastep 210 finished, loss: 0.08261298248544335
metastep 211 finished, loss: 0.08244112273678184
metastep 212 finished, loss: 0.08068846771493554
metastep 213 finished, loss: 0.08886700496077538
metastep 214 finished, loss: 0.08858551923185587
metastep 215 finished, loss: 0.08065729448571801
metastep 216 finished, loss: 0.08513469621539116
metastep 217 finished, loss: 0.08481055544689298
metastep 218 finished, loss: 0.08221144555136561
metastep 219 finished, loss: 0.07815989200025797
metastep 220 finished, loss: 0.07935000536963344
metastep 221 finished, loss: 0.08323456393554807
metastep 222 finished, loss: 0.08163407072424889
metastep 223 finished, loss: 0.08231715485453606
metastep 224 finished, loss: 0.081217254512012
metastep 225 finished, loss: 0.08554956316947937
metastep 226 finished, loss: 0.08888842724263668
metastep 227 finished, loss: 0.08020954905077815
metastep 228 finished, loss: 0.08890995103865862
metastep 229 finished, loss: 0.08108136709779501
metastep 230 finished, loss: 0.08126400876790285
metastep 231 finished, loss: 0.07811194006353617
metastep 232 finished, loss: 0.08334545837715268
metastep 233 finished, loss: 0.08357239747419953
metastep 234 finished, loss: 0.0710499444976449
metastep 235 finished, loss: 0.08203893713653088
metastep 236 finished, loss: 0.0818542349152267
metastep 237 finished, loss: 0.0843784287571907
metastep 238 finished, loss: 0.08105913270264864
metastep 239 finished, loss: 0.07814902998507023
metastep 240 finished, loss: 0.08066096669062972
metastep 241 finished, loss: 0.08080516662448645
metastep 242 finished, loss: 0.087482207454741
metastep 243 finished, loss: 0.08437681943178177
metastep 244 finished, loss: 0.07726949919015169
metastep 245 finished, loss: 0.08437843853607774
metastep 246 finished, loss: 0.08635312179103494
metastep 247 finished, loss: 0.08147768210619688
metastep 248 finished, loss: 0.08382767578586936
metastep 249 finished, loss: 0.0756852738559246
metastep 250 finished, loss: 0.07475361274555326
metastep 251 finished, loss: 0.07705435995012522
metastep 252 finished, loss: 0.07767917029559612
metastep 253 finished, loss: 0.07931903190910816
metastep 254 finished, loss: 0.07520735869184136
metastep 255 finished, loss: 0.07979467930272222
metastep 256 finished, loss: 0.08069807011634111
metastep 257 finished, loss: 0.08562278281897306
metastep 258 finished, loss: 0.07961839577183127
metastep 259 finished, loss: 0.0851465673185885
metastep 260 finished, loss: 0.07462150510400534
metastep 261 finished, loss: 0.07951515167951584
metastep 262 finished, loss: 0.07902737287804484
metastep 263 finished, loss: 0.07648703223094344
metastep 264 finished, loss: 0.07655554683879018
metastep 265 finished, loss: 0.0743549526669085
metastep 266 finished, loss: 0.0806301343254745
metastep 267 finished, loss: 0.08296497212722898
metastep 268 finished, loss: 0.07551784534007311
metastep 269 finished, loss: 0.07415150525048375
metastep 270 finished, loss: 0.07573238434270024
metastep 271 finished, loss: 0.0804344485513866
metastep 272 finished, loss: 0.07505353121086955
metastep 273 finished, loss: 0.0799647280946374
metastep 274 finished, loss: 0.07653529196977615
metastep 275 finished, loss: 0.08314961846917868
metastep 276 finished, loss: 0.08849937934428453
metastep 277 finished, loss: 0.08560245018452406
metastep 278 finished, loss: 0.07669842848554254
metastep 279 finished, loss: 0.08047059690579772
metastep 280 finished, loss: 0.07782056974247098
metastep 281 finished, loss: 0.08627297542989254
metastep 282 finished, loss: 0.0874013202264905
metastep 283 finished, loss: 0.07662270683795214
metastep 284 finished, loss: 0.07481122203171253
metastep 285 finished, loss: 0.07715915609151125
metastep 286 finished, loss: 0.08390173502266407
metastep 287 finished, loss: 0.07508886745199561
metastep 288 finished, loss: 0.08433717722073197
metastep 289 finished, loss: 0.08840374927967787
metastep 290 finished, loss: 0.07827199529856443
metastep 291 finished, loss: 0.07987491600215435
metastep 292 finished, loss: 0.08148980280384421
metastep 293 finished, loss: 0.08009018655866385
metastep 294 finished, loss: 0.0803010892122984
metastep 295 finished, loss: 0.08050435036420822
metastep 296 finished, loss: 0.08303413912653923
metastep 297 finished, loss: 0.08325046580284834
metastep 298 finished, loss: 0.0823816149495542
metastep 299 finished, loss: 0.07940047001466155
Start to train adapter for SUN397
