metastep 0 finished, loss: 0.7261078357696533
metastep 1 finished, loss: 0.7106077671051025
metastep 2 finished, loss: 0.7162790298461914
metastep 3 finished, loss: 0.6858701109886169
metastep 4 finished, loss: 0.7248194813728333
metastep 5 finished, loss: 0.6905339956283569
metastep 6 finished, loss: 0.6778956055641174
metastep 7 finished, loss: 0.6752684116363525
metastep 8 finished, loss: 0.6426631808280945
metastep 9 finished, loss: 0.697335422039032
metastep 10 finished, loss: 0.6630337238311768
metastep 11 finished, loss: 0.7364517450332642
metastep 12 finished, loss: 0.6159922480583191
metastep 13 finished, loss: 0.641646146774292
metastep 14 finished, loss: 0.692143976688385
metastep 15 finished, loss: 0.7185193300247192
metastep 16 finished, loss: 0.6344983577728271
metastep 17 finished, loss: 0.6449662446975708
metastep 18 finished, loss: 0.6740125417709351
metastep 19 finished, loss: 0.679881751537323
metastep 20 finished, loss: 0.7127572298049927
metastep 21 finished, loss: 0.6737126708030701
metastep 22 finished, loss: 0.5908287167549133
metastep 23 finished, loss: 0.6507700681686401
metastep 24 finished, loss: 0.6773439645767212
metastep 25 finished, loss: 0.6529885530471802
metastep 26 finished, loss: 0.6698670983314514
metastep 27 finished, loss: 0.6599307656288147
metastep 28 finished, loss: 0.619981586933136
metastep 29 finished, loss: 0.6834359169006348
metastep 30 finished, loss: 0.6879622340202332
metastep 31 finished, loss: 0.7173402905464172
metastep 32 finished, loss: 0.594383716583252
metastep 33 finished, loss: 0.6319013833999634
metastep 34 finished, loss: 0.657379686832428
metastep 35 finished, loss: 0.5757147669792175
metastep 36 finished, loss: 0.6423825025558472
metastep 37 finished, loss: 0.6437937617301941
metastep 38 finished, loss: 0.5695077180862427
metastep 39 finished, loss: 0.6424070000648499
metastep 40 finished, loss: 0.6433072686195374
metastep 41 finished, loss: 0.5844255685806274
metastep 42 finished, loss: 0.6113541126251221
metastep 43 finished, loss: 0.6402223706245422
metastep 44 finished, loss: 0.6024904251098633
metastep 45 finished, loss: 0.6066626310348511
metastep 46 finished, loss: 0.6104427576065063
metastep 47 finished, loss: 0.6205141544342041
metastep 48 finished, loss: 0.6131490468978882
metastep 49 finished, loss: 0.5770775675773621
metastep 50 finished, loss: 0.5800087451934814
metastep 51 finished, loss: 0.6070809364318848
metastep 52 finished, loss: 0.5660872459411621
metastep 53 finished, loss: 0.530586838722229
metastep 54 finished, loss: 0.5340051054954529
metastep 55 finished, loss: 0.6075652241706848
metastep 56 finished, loss: 0.49950575828552246
metastep 57 finished, loss: 0.53855299949646
metastep 58 finished, loss: 0.5958679914474487
metastep 59 finished, loss: 0.5691540837287903
metastep 60 finished, loss: 0.5758460164070129
metastep 61 finished, loss: 0.614589273929596
metastep 62 finished, loss: 0.5405930876731873
metastep 63 finished, loss: 0.5958027243614197
metastep 64 finished, loss: 0.5517568588256836
metastep 65 finished, loss: 0.5572971105575562
metastep 66 finished, loss: 0.5482481718063354
metastep 67 finished, loss: 0.5206568241119385
metastep 68 finished, loss: 0.6375077962875366
metastep 69 finished, loss: 0.5699975490570068
metastep 70 finished, loss: 0.60267573595047
metastep 71 finished, loss: 0.6078897714614868
metastep 72 finished, loss: 0.5732085108757019
metastep 73 finished, loss: 0.609420120716095
metastep 74 finished, loss: 0.5507527589797974
metastep 75 finished, loss: 0.6019342541694641
metastep 76 finished, loss: 0.6404781341552734
metastep 77 finished, loss: 0.5778267979621887
metastep 78 finished, loss: 0.6584188342094421
metastep 79 finished, loss: 0.5696450471878052
metastep 80 finished, loss: 0.6166433095932007
metastep 81 finished, loss: 0.6471201181411743
metastep 82 finished, loss: 0.6080654859542847
metastep 83 finished, loss: 0.6294335126876831
metastep 84 finished, loss: 0.6248851418495178
metastep 85 finished, loss: 0.5954461097717285
metastep 86 finished, loss: 0.5915345549583435
metastep 87 finished, loss: 0.5836593508720398
metastep 88 finished, loss: 0.6153113842010498
metastep 89 finished, loss: 0.6389704942703247
metastep 90 finished, loss: 0.6002655029296875
metastep 91 finished, loss: 0.6335325837135315
metastep 92 finished, loss: 0.6819103360176086
metastep 93 finished, loss: 0.6334531307220459
metastep 94 finished, loss: 0.6466517448425293
metastep 95 finished, loss: 0.5888738036155701
metastep 96 finished, loss: 0.6798824667930603
metastep 97 finished, loss: 0.5938328504562378
metastep 98 finished, loss: 0.5713262557983398
metastep 99 finished, loss: 0.5350572466850281
metastep 100 finished, loss: 0.6285536289215088
metastep 101 finished, loss: 0.6543365716934204
metastep 102 finished, loss: 0.5361913442611694
metastep 103 finished, loss: 0.5873883366584778
metastep 104 finished, loss: 0.6373719573020935
metastep 105 finished, loss: 0.6609898209571838
metastep 106 finished, loss: 0.6525671482086182
metastep 107 finished, loss: 0.5539304614067078
metastep 108 finished, loss: 0.6093279719352722
metastep 109 finished, loss: 0.6114007234573364
metastep 110 finished, loss: 0.5603435635566711
metastep 111 finished, loss: 0.6032254099845886
metastep 112 finished, loss: 0.6520614624023438
metastep 113 finished, loss: 0.6477237343788147
metastep 114 finished, loss: 0.5568077564239502
metastep 115 finished, loss: 0.5943310856819153
metastep 116 finished, loss: 0.6496539115905762
metastep 117 finished, loss: 0.6057692766189575
metastep 118 finished, loss: 0.5858834981918335
metastep 119 finished, loss: 0.6314181685447693
metastep 120 finished, loss: 0.6205904483795166
metastep 121 finished, loss: 0.6353665590286255
metastep 122 finished, loss: 0.6768397688865662
metastep 123 finished, loss: 0.6453760266304016
metastep 124 finished, loss: 0.661866307258606
metastep 125 finished, loss: 0.6653745770454407
metastep 126 finished, loss: 0.6590111255645752
metastep 127 finished, loss: 0.5937628746032715
metastep 128 finished, loss: 0.7449878454208374
metastep 129 finished, loss: 0.6392235159873962
metastep 130 finished, loss: 0.5740770101547241
metastep 131 finished, loss: 0.6231478452682495
metastep 132 finished, loss: 0.5627117156982422
metastep 133 finished, loss: 0.6048299074172974
metastep 134 finished, loss: 0.5939099788665771
metastep 135 finished, loss: 0.5766474604606628
metastep 136 finished, loss: 0.635563850402832
metastep 137 finished, loss: 0.6471573710441589
metastep 138 finished, loss: 0.6162410378456116
metastep 139 finished, loss: 0.6104873418807983
metastep 140 finished, loss: 0.650556743144989
metastep 141 finished, loss: 0.6145975589752197
metastep 142 finished, loss: 0.605156421661377
metastep 143 finished, loss: 0.6346643567085266
metastep 144 finished, loss: 0.6407519578933716
metastep 145 finished, loss: 0.6954429745674133
metastep 146 finished, loss: 0.606827974319458
metastep 147 finished, loss: 0.5325026512145996
metastep 148 finished, loss: 0.5633881092071533
metastep 149 finished, loss: 0.5744316577911377
metastep 150 finished, loss: 0.5757308006286621
metastep 151 finished, loss: 0.6270865797996521
metastep 152 finished, loss: 0.6091705560684204
