metastep 146 finished, loss: 0.69756019115448
metastep 147 finished, loss: 0.6478305459022522
metastep 148 finished, loss: 0.6805114150047302
metastep 149 finished, loss: 0.6580870151519775
metastep 150 finished, loss: 0.6479625105857849
metastep 151 finished, loss: 0.6757911443710327
metastep 152 finished, loss: 0.6841709017753601
metastep 153 finished, loss: 0.6658896207809448
metastep 154 finished, loss: 0.7195334434509277
metastep 155 finished, loss: 0.6314992308616638
metastep 156 finished, loss: 0.6751526594161987
metastep 157 finished, loss: 0.6523195505142212
metastep 158 finished, loss: 0.6648300290107727
metastep 159 finished, loss: 0.634391725063324
metastep 160 finished, loss: 0.6871072053909302
metastep 161 finished, loss: 0.6288937330245972
metastep 162 finished, loss: 0.6202881336212158
metastep 163 finished, loss: 0.6050071120262146
metastep 164 finished, loss: 0.6911008358001709
metastep 165 finished, loss: 0.6219608783721924
metastep 166 finished, loss: 0.6456974744796753
metastep 167 finished, loss: 0.6944454908370972
metastep 168 finished, loss: 0.6622955799102783
metastep 169 finished, loss: 0.6545355319976807
metastep 170 finished, loss: 0.6047878265380859
metastep 171 finished, loss: 0.5730525255203247
metastep 172 finished, loss: 0.5786226391792297
metastep 173 finished, loss: 0.6023058295249939
metastep 174 finished, loss: 0.6357952952384949
metastep 175 finished, loss: 0.6197385787963867
metastep 176 finished, loss: 0.6331201195716858
metastep 177 finished, loss: 0.5881317853927612
metastep 178 finished, loss: 0.6907950043678284
metastep 179 finished, loss: 0.6346309185028076
metastep 180 finished, loss: 0.6849822998046875
metastep 181 finished, loss: 0.6250830888748169
metastep 182 finished, loss: 0.6211363077163696
metastep 183 finished, loss: 0.6189874410629272
metastep 184 finished, loss: 0.6244339942932129
metastep 185 finished, loss: 0.5790793895721436
metastep 186 finished, loss: 0.6165022850036621
metastep 187 finished, loss: 0.6102802753448486
metastep 188 finished, loss: 0.6441025733947754
metastep 189 finished, loss: 0.5969770550727844
metastep 190 finished, loss: 0.6443531513214111
metastep 191 finished, loss: 0.6147856116294861
metastep 192 finished, loss: 0.6453995704650879
metastep 193 finished, loss: 0.6353787183761597
metastep 194 finished, loss: 0.6255974769592285
metastep 195 finished, loss: 0.6994407773017883
metastep 196 finished, loss: 0.6352999806404114
metastep 197 finished, loss: 0.6041957139968872
metastep 198 finished, loss: 0.6503356099128723
metastep 199 finished, loss: 0.6161680817604065
metastep 200 finished, loss: 0.6485806703567505
metastep 201 finished, loss: 0.63704913854599
metastep 202 finished, loss: 0.6053037047386169
metastep 203 finished, loss: 0.6205810308456421
metastep 204 finished, loss: 0.6598530411720276
metastep 205 finished, loss: 0.6319674253463745
metastep 206 finished, loss: 0.6038181781768799
metastep 207 finished, loss: 0.6446958184242249
metastep 208 finished, loss: 0.6584477424621582
metastep 209 finished, loss: 0.6933891177177429
metastep 210 finished, loss: 0.6145535111427307
metastep 211 finished, loss: 0.645179271697998
metastep 212 finished, loss: 0.6862879395484924
metastep 213 finished, loss: 0.6593592762947083
metastep 214 finished, loss: 0.6832506060600281
metastep 215 finished, loss: 0.6974025368690491
metastep 216 finished, loss: 0.7531847953796387
metastep 217 finished, loss: 0.7552968263626099
metastep 218 finished, loss: 0.7394639253616333
metastep 219 finished, loss: 0.6961414217948914
metastep 220 finished, loss: 0.7749009132385254
metastep 221 finished, loss: 0.7114567160606384
metastep 222 finished, loss: 0.5983336567878723
metastep 223 finished, loss: 0.6969733238220215
metastep 224 finished, loss: 0.7288869619369507
metastep 225 finished, loss: 0.7706155776977539
metastep 226 finished, loss: 0.7142795920372009
metastep 227 finished, loss: 0.6559731960296631
metastep 228 finished, loss: 0.6733101606369019
metastep 229 finished, loss: 0.7034953832626343
metastep 230 finished, loss: 0.7526447772979736
metastep 231 finished, loss: 0.7480030059814453
metastep 232 finished, loss: 0.7443757057189941
metastep 233 finished, loss: 0.6326166987419128
metastep 234 finished, loss: 0.7447322010993958
metastep 235 finished, loss: 0.6508297920227051
metastep 236 finished, loss: 0.6618599891662598
metastep 237 finished, loss: 0.6902482509613037
metastep 238 finished, loss: 0.69017493724823
metastep 239 finished, loss: 0.7300717234611511
metastep 240 finished, loss: 0.7395374774932861
metastep 241 finished, loss: 0.6845826506614685
metastep 242 finished, loss: 0.6991117000579834
metastep 243 finished, loss: 0.7073546051979065
metastep 244 finished, loss: 0.6952201128005981
metastep 245 finished, loss: 0.6509547233581543
metastep 246 finished, loss: 0.7020338177680969
metastep 247 finished, loss: 0.6606847047805786
metastep 248 finished, loss: 0.7005523443222046
metastep 249 finished, loss: 0.7091694474220276
metastep 250 finished, loss: 0.594505786895752
metastep 251 finished, loss: 0.6370025277137756
metastep 252 finished, loss: 0.7173053026199341
metastep 253 finished, loss: 0.6765633821487427
metastep 254 finished, loss: 0.6755859851837158
metastep 255 finished, loss: 0.6577670574188232
metastep 256 finished, loss: 0.6496844291687012
metastep 257 finished, loss: 0.6135944724082947
metastep 258 finished, loss: 0.6985005736351013
metastep 259 finished, loss: 0.6864320635795593
metastep 260 finished, loss: 0.6922157406806946
metastep 261 finished, loss: 0.6937543153762817
metastep 262 finished, loss: 0.6800585389137268
metastep 263 finished, loss: 0.6423520445823669
metastep 264 finished, loss: 0.6354435682296753
metastep 265 finished, loss: 0.6344753503799438
metastep 266 finished, loss: 0.6493723392486572
metastep 267 finished, loss: 0.6388044953346252
metastep 268 finished, loss: 0.6651415824890137
metastep 269 finished, loss: 0.6787203550338745
metastep 270 finished, loss: 0.6739715933799744
metastep 271 finished, loss: 0.7076129913330078
metastep 272 finished, loss: 0.7321457862854004
metastep 273 finished, loss: 0.7273199558258057
metastep 274 finished, loss: 0.636879563331604
metastep 275 finished, loss: 0.7009943127632141
metastep 276 finished, loss: 0.7200735211372375
metastep 277 finished, loss: 0.6356970071792603
metastep 278 finished, loss: 0.6942744255065918
metastep 279 finished, loss: 0.6761459112167358
metastep 280 finished, loss: 0.6902087926864624
metastep 281 finished, loss: 0.6548987030982971
metastep 282 finished, loss: 0.6854870319366455
metastep 283 finished, loss: 0.6667874455451965
metastep 284 finished, loss: 0.7105525732040405
metastep 285 finished, loss: 0.6876499652862549
metastep 286 finished, loss: 0.6857064366340637
metastep 287 finished, loss: 0.6870323419570923
metastep 288 finished, loss: 0.7079070210456848
metastep 289 finished, loss: 0.5941979885101318
metastep 290 finished, loss: 0.5341581106185913
metastep 291 finished, loss: 0.5840727090835571
metastep 292 finished, loss: 0.6646801233291626
metastep 293 finished, loss: 0.6265779733657837
metastep 294 finished, loss: 0.6153364777565002
metastep 295 finished, loss: 0.6026913523674011
metastep 296 finished, loss: 0.6507096886634827
metastep 297 finished, loss: 0.6402381062507629
metastep 298 finished, loss: 0.6050739288330078
metastep 299 finished, loss: 0.5687565803527832
metastep 300 finished, loss: 0.6459577083587646
metastep 301 finished, loss: 0.587946355342865
metastep 302 finished, loss: 0.5827043056488037
metastep 303 finished, loss: 0.568437397480011
metastep 304 finished, loss: 0.6608238816261292
metastep 305 finished, loss: 0.5886945128440857
metastep 306 finished, loss: 0.6455641984939575
metastep 307 finished, loss: 0.5895775556564331
metastep 308 finished, loss: 0.6757622361183167
metastep 309 finished, loss: 0.5722848773002625
metastep 310 finished, loss: 0.5881620049476624
metastep 311 finished, loss: 0.6040584444999695
metastep 312 finished, loss: 0.5981802940368652
metastep 313 finished, loss: 0.5816716551780701
metastep 314 finished, loss: 0.5800975561141968
metastep 315 finished, loss: 0.654401421546936
metastep 316 finished, loss: 0.6650512218475342
metastep 317 finished, loss: 0.5655113458633423
metastep 318 finished, loss: 0.650249183177948
metastep 319 finished, loss: 0.7056025266647339
metastep 320 finished, loss: 0.6120567321777344
metastep 321 finished, loss: 0.6016601920127869
metastep 322 finished, loss: 0.7158288955688477
metastep 323 finished, loss: 0.5725339651107788
metastep 324 finished, loss: 0.6130050420761108
metastep 325 finished, loss: 0.637304961681366
metastep 326 finished, loss: 0.6915409564971924
